Epoch,Loss,Top1 Acc,Top5 Acc,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc
165,0.006168531648097162,0.9980416666666667,1.0,0.678,0.4985,0.6415,0.568,0.5145,0.762
166,0.005841882904597318,0.9980208333333334,1.0,0.656,0.427,0.656,0.599,0.57,0.732
167,0.004327368996898978,0.9985625,1.0,0.709,0.5525,0.67,0.571,0.5365,0.6875
168,0.005926443470312961,0.9980833333333333,1.0,0.624,0.519,0.6635,0.629,0.6135,0.624
169,0.007269489738264421,0.9975625,1.0,0.6415,0.518,0.738,0.523,0.601,0.662
170,0.005708190550253183,0.9978958333333333,1.0,0.69,0.522,0.694,0.583,0.583,0.6465
171,0.005185853268232677,0.9982291666666666,1.0,0.6785,0.525,0.6295,0.58,0.5805,0.649
172,0.005279857124094671,0.9983333333333333,1.0,0.703,0.551,0.6445,0.641,0.527,0.627
173,0.004841082400389117,0.9985,1.0,0.688,0.513,0.612,0.623,0.494,0.7325
174,0.00757034165281785,0.99775,1.0,0.625,0.5285,0.674,0.6145,0.5725,0.638
175,0.005904498308015415,0.9981875,1.0,0.6355,0.539,0.659,0.579,0.6035,0.658
176,0.005405135139569325,0.9983958333333334,1.0,0.7535,0.5375,0.639,0.6075,0.435,0.7255
177,0.004710937281669772,0.9983958333333334,1.0,0.6865,0.584,0.6715,0.5585,0.573,0.593
178,0.005567861221455246,0.998,1.0,0.678,0.5325,0.6635,0.596,0.523,0.6875
179,0.0058176004194736685,0.9980833333333333,1.0,0.656,0.5095,0.6115,0.5615,0.603,0.7355
180,0.006511215513325396,0.997875,1.0,0.661,0.4555,0.718,0.608,0.5355,0.683
181,0.00467789641823371,0.9985,1.0,0.6895,0.517,0.661,0.5605,0.5485,0.653
182,0.003976032077623605,0.9985833333333334,1.0,0.6545,0.5725,0.624,0.581,0.5435,0.6665
